transaction_id,date,customer_id,channel,product_tier,revenue,approved,processing_failure,disputed
T000000115,2024-01-02,100020,Inbound,Starter,205.38,1,0,0
T000000116,2024-01-02,100998,Web,Pro,381.79,1,0,0
T000000117,2024-01-02,101359,Web,Pro,789.55,1,0,0
T000000118,2024-01-02,100751,Web,Starter,197.54,0,0,0
T000000119,2024-01-02,100202,Inbound,Starter,174.75,0,0,0
T000000120,2024-01-02,100808,Inbound,Growth,313.97,1,0,0
T000000121,2024-01-02,100377,Outbound,Starter,158.05,1,0,0
T000000122,2024-01-02,101241,Outbound,Starter,194.25,1,0,0
T000000123,2024-01-02,100918,Inbound,Starter,150.86,1,0,0
T000000124,2024-01-02,100504,Web,Pro,668.39,0,0,0
T000000125,2024-01-02,100936,Web,Starter,275.99,1,0,0
T000000126,2024-01-02,101000,Partner,Growth,364.84,0,1,0
T000000127,2024-01-02,101018,Outbound,Starter,113.53,1,0,0
T000000128,2024-01-02,100549,Outbound,Starter,113.51,1,0,0
T000000129,2024-01-02,100855,Inbound,Pro,611.19,1,0,0
T000000130,2024-01-02,100064,Inbound,Starter,186.18,1,0,0
T000000131,2024-01-02,100605,Partner,Starter,241.4,0,1,0
T000000132,2024-01-02,100567,Outbound,Starter,148.19,0,0,0
T000000133,2024-01-02,100802,Partner,Growth,313.56,1,0,0
T000000134,2024-01-02,101425,Web,Starter,172.88,1,0,0
T000000135,2024-01-02,101430,Inbound,Starter,154.39,1,0,0
T000000136,2024-01-02,100724,Inbound,Starter,170.05,0,0,0
T000000137,2024-01-02,100969,Inbound,Starter,132.44,1,0,0
T000000138,2024-01-02,100162,Inbound,Starter,283.0,1,0,0
T000000139,2024-01-02,100723,Partner,Growth,224.25,1,0,0
T000000140,2024-01-02,101031,Web,Starter,209.0,1,0,0
T000000141,2024-01-02,101024,Web,Starter,155.84,1,0,0
T000000142,2024-01-02,101445,Web,Growth,422.88,1,0,0
T000000143,2024-01-02,100699,Outbound,Growth,287.98,1,0,0
T000000144,2024-01-02,101361,Inbound,Starter,241.03,1,0,0
T000000145,2024-01-02,101468,Outbound,Starter,148.74,1,0,0
T000000146,2024-01-02,100857,Outbound,Starter,133.78,0,0,0
T000000147,2024-01-02,100137,Web,Pro,541.18,1,0,0
T000000148,2024-01-02,100564,Outbound,Starter,192.33,1,0,0
T000000149,2024-01-02,101147,Inbound,Starter,266.62,1,0,0
T000000150,2024-01-03,100871,Outbound,Starter,195.91,1,0,0
T000000151,2024-01-03,100359,Inbound,Growth,311.7,1,0,0
T000000152,2024-01-03,100267,Web,Growth,282.74,1,0,0
T000000153,2024-01-03,100515,Web,Starter,229.69,1,0,0
T000000154,2024-01-03,100718,Partner,Growth,435.57,1,0,0
T000000155,2024-01-03,101114,Inbound,Growth,270.03,1,0,0
T000000156,2024-01-03,100385,Web,Starter,130.98,1,0,0
T000000157,2024-01-03,100847,Web,Starter,243.85,0,0,0
T000000158,2024-01-03,100005,Inbound,Pro,803.28,0,0,0
T000000159,2024-01-03,100046,Web,Starter,148.16,0,0,0
T000000160,2024-01-03,101450,Partner,Growth,351.91,1,0,0
T000000161,2024-01-03,101275,Web,Growth,280.78,1,0,0
T000000162,2024-01-03,101295,Inbound,Growth,307.13,1,0,0
T000000163,2024-01-03,100493,Inbound,Growth,403.31,1,0,0
T000000164,2024-01-03,100770,Web,Growth,439.99,0,0,0
T000000165,2024-01-03,101012,Web,Growth,415.24,0,1,0
T000000166,2024-01-03,100381,Outbound,Starter,155.69,1,0,0
T000000167,2024-01-03,101116,Inbound,Starter,167.56,1,0,0
T000000168,2024-01-03,101039,Web,Starter,119.88,1,0,0
T000000169,2024-01-03,100610,Inbound,Starter,192.67,1,0,0
T000000170,2024-01-03,100652,Outbound,Starter,163.25,0,0,0
T000000171,2024-01-03,100461,Web,Starter,165.53,1,0,0
T000000172,2024-01-03,101205,Inbound,Starter,198.39,1,0,0
T000000173,2024-01-03,101480,Inbound,Starter,224.34,1,0,0
T000000174,2024-01-03,101499,Inbound,Starter,222.15,1,0,0
T000000175,2024-01-03,101157,Web,Growth,441.28,1,0,0
T000000176,2024-01-03,100523,Inbound,Growth,430.24,0,0,0
T000000177,2024-01-03,101171,Web,Growth,273.19,1,0,0
T000000178,2024-01-03,100366,Web,Growth,208.25,1,0,0
T000000179,2024-01-03,101344,Web,Pro,643.94,1,0,0
T000000180,2024-01-03,100401,Partner,Growth,148.07,1,0,0
T000000181,2024-01-03,100604,Partner,Starter,159.08,1,0,0
T000000182,2024-01-03,100140,Outbound,Pro,421.56,1,0,0
T000000183,2024-01-03,100122,Partner,Starter,150.21,1,0,0
T000000184,2024-01-03,100591,Web,Growth,181.84,1,0,0
T000000185,2024-01-03,100825,Web,Growth,393.45,0,0,0
T000000186,2024-01-03,100026,Outbound,Starter,150.72,0,0,0
T000000187,2024-01-03,101269,Outbound,Growth,278.84,0,0,0
T000000188,2024-01-03,100171,Web,Starter,130.78,1,0,0
T000000189,2024-01-03,101497,Inbound,Starter,208.99,0,0,0
T000000190,2024-01-03,100407,Web,Starter,241.87,1,0,0
T000000191,2024-01-03,100568,Inbound,Starter,169.95,1,0,0
T000000192,2024-01-03,100239,Web,Starter,170.3,1,1,0
T000000193,2024-01-03,101236,Web,Growth,272.49,1,0,0
T000000194,2024-01-03,101098,Outbound,Growth,227.71,0,0,0
T000000195,2024-01-03,100117,Inbound,Growth,221.05,1,0,0
T000000196,2024-01-03,100158,Web,Growth,437.86,1,0,0
T000000197,2024-01-03,100913,Outbound,Starter,55.3,0,1,0
T000000198,2024-01-03,101298,Outbound,Starter,166.83,1,0,0
T000000199,2024-01-03,100164,Partner,Growth,398.21,0,0,0
T000000200,2024-01-03,100331,Outbound,Pro,678.39,0,0,0
T000000201,2024-01-03,100818,Web,Starter,161.17,0,0,0
T000000202,2024-01-03,100162,Inbound,Starter,227.36,0,0,0
T000000203,2024-01-03,100456,Outbound,Growth,302.82,1,0,0
T000000204,2024-01-03,100015,Web,Pro,357.0,1,0,0
T000000205,2024-01-03,100748,Inbound,Starter,180.86,0,0,0
T000000206,2024-01-03,101072,Outbound,Starter,193.01,0,0,0
T000000207,2024-01-03,100617,Web,Starter,126.73,1,0,0
T000000208,2024-01-03,100384,Web,Growth,367.99,1,0,0
T000000209,2024-01-03,100636,Partner,Pro,666.54,1,0,0
T000000210,2024-01-03,100764,Web,Growth,359.11,1,0,0
T000000211,2024-01-03,100248,Inbound,Starter,182.51,1,0,0
T000000212,2024-01-03,100167,Outbound,Growth,212.11,0,0,0
T000000213,2024-01-03,100272,Web,Growth,458.81,0,0,0
T000000214,2024-01-03,101477,Web,Growth,443.73,1,0,0
T000000215,2024-01-03,101084,Partner,Growth,429.77,1,0,0
T000000216,2024-01-03,100188,Outbound,Starter,106.09,1,0,0
T000000217,2024-01-03,100452,Outbound,Starter,111.83,1,0,0
T000000218,2024-01-03,100617,Inbound,Growth,452.12,1,0,0
T000000219,2024-01-03,100271,Web,Growth,291.69,1,0,0
T000000220,2024-01-03,101277,Web,Pro,638.52,1,0,0
T000000221,2024-01-03,101410,Outbound,Growth,446.29,1,0,0
T000000222,2024-01-03,100367,Inbound,Starter,137.67,1,0,0
T000000223,2024-01-03,100024,Outbound,Starter,234.84,1,0,0
T000000224,2024-01-03,100400,Inbound,Growth,218.54,1,0,0
T000000225,2024-01-03,100873,Web,Starter,168.83,1,0,0
T000000226,2024-01-03,101212,Partner,Growth,534.26,1,0,0
T000000227,2024-01-03,100509,Inbound,Starter,130.79,1,0,0
T000000228,2024-01-03,100410,Web,Starter,208.07,1,0,0
T000000229,2024-01-03,100373,Web,Growth,226.58,1,0,0
T000000230,2024-01-04,100004,Inbound,Pro,578.64,1,0,0
T000000231,2024-01-04,100122,Web,Pro,222.86,0,0,0
T000000232,2024-01-04,100588,Web,Starter,197.49,0,0,0
T000000233,2024-01-04,100534,Outbound,Starter,134.35,1,0,0
T000000234,2024-01-04,100985,Outbound,Pro,316.32,1,0,0
T000000235,2024-01-04,100801,Inbound,Growth,275.03,0,0,0
T000000236,2024-01-04,100918,Inbound,Growth,246.58,1,0,0
T000000237,2024-01-04,100714,Outbound,Starter,173.09,1,0,0
T000000238,2024-01-04,101109,Web,Starter,183.21,0,0,0
T000000239,2024-01-04,100240,Web,Growth,299.48,1,0,0
T000000240,2024-01-04,101077,Outbound,Growth,298.72,1,0,0
T000000241,2024-01-04,100075,Web,Starter,155.02,1,0,0
T000000242,2024-01-04,100128,Outbound,Pro,501.99,1,0,0
T000000243,2024-01-04,101085,Inbound,Growth,299.56,1,0,0
T000000244,2024-01-04,100237,Outbound,Growth,386.88,1,0,0
T000000245,2024-01-04,101155,Inbound,Starter,204.31,1,0,0
T000000246,2024-01-04,100199,Web,Growth,375.71,1,0,0
T000000247,2024-01-04,100220,Outbound,Growth,319.44,1,0,0
T000000248,2024-01-04,101398,Web,Starter,167.4,0,0,0
T000000249,2024-01-04,100265,Outbound,Growth,297.11,1,0,0
T000000250,2024-01-04,101370,Web,Growth,221.15,0,0,0
T000000251,2024-01-04,100522,Web,Growth,311.35,1,0,0
T000000252,2024-01-04,101196,Outbound,Starter,178.56,1,0,0
T000000253,2024-01-04,101409,Inbound,Pro,484.54,1,0,0
T000000254,2024-01-04,100175,Web,Growth,212.61,1,0,0
T000000255,2024-01-04,100495,Partner,Starter,137.84,1,0,0
T000000256,2024-01-04,100861,Inbound,Starter,180.98,0,0,0
T000000257,2024-01-04,101298,Web,Starter,137.83,0,0,0
T000000258,2024-01-04,100280,Inbound,Starter,175.89,0,0,0
T000000259,2024-01-04,100280,Inbound,Growth,337.49,1,1,0
T000000260,2024-01-04,100552,Partner,Growth,368.2,1,0,0
T000000261,2024-01-04,100306,Outbound,Starter,233.58,1,0,0
T000000262,2024-01-04,100400,Outbound,Pro,505.86,1,0,0
T000000263,2024-01-04,100194,Inbound,Starter,251.32,0,0,0
T000000264,2024-01-04,101243,Inbound,Growth,571.57,0,0,0
T000000265,2024-01-04,101195,Inbound,Pro,519.84,1,0,0
T000000266,2024-01-04,100216,Inbound,Growth,177.16,0,0,0
T000000267,2024-01-04,100805,Web,Growth,273.4,0,0,0
T000000268,2024-01-04,100969,Partner,Growth,108.34,1,0,0
T000000269,2024-01-04,100941,Outbound,Starter,173.76,0,0,0
T000000270,2024-01-04,101475,Outbound,Starter,277.62,1,0,0
T000000271,2024-01-04,100961,Web,Starter,163.57,1,0,0
T000000272,2024-01-04,101030,Inbound,Starter,282.22,1,0,0
T000000273,2024-01-04,100049,Inbound,Starter,181.59,1,0,0
T000000274,2024-01-04,100118,Web,Starter,240.12,1,0,0
T000000275,2024-01-04,100928,Outbound,Pro,378.17,0,0,0
T000000276,2024-01-04,101361,Web,Pro,761.22,1,0,0
T000000277,2024-01-04,100598,Web,Growth,259.81,1,0,0
T000000278,2024-01-04,100964,Web,Growth,296.49,1,0,0
T000000279,2024-01-04,100315,Inbound,Starter,130.89,1,0,0
T000000280,2024-01-04,100684,Inbound,Starter,220.52,1,0,0
T000000281,2024-01-04,101126,Inbound,Growth,323.46,1,0,0
T000000282,2024-01-04,100989,Web,Growth,363.94,0,0,0
T000000283,2024-01-04,100171,Web,Starter,205.03,0,0,0
T000000284,2024-01-04,101318,Web,Growth,336.54,1,0,0
T000000285,2024-01-04,101390,Inbound,Growth,214.51,1,0,0
T000000286,2024-01-04,100715,Web,Starter,164.29,1,0,0
T000000287,2024-01-04,100511,Partner,Starter,224.35,0,0,0
T000000288,2024-01-04,100796,Web,Starter,207.93,1,0,0
T000000289,2024-01-04,101202,Partner,Growth,444.25,1,0,0
T000000290,2024-01-04,100678,Inbound,Pro,463.86,1,0,0
T000000291,2024-01-04,100045,Inbound,Growth,449.5,0,0,0
T000000292,2024-01-04,100108,Web,Growth,435.56,1,0,0
T000000293,2024-01-04,101217,Outbound,Growth,361.21,1,0,0
T000000294,2024-01-04,101180,Outbound,Starter,126.79,0,0,0
T000000295,2024-01-04,101158,Outbound,Growth,137.84,1,0,0
T000000296,2024-01-04,100189,Outbound,Growth,385.99,1,0,0
T000000297,2024-01-04,100256,Web,Growth,328.91,1,0,0
T000000298,2024-01-04,100591,Inbound,Starter,220.73,1,0,0
T000000299,2024-01-04,100346,Inbound,Pro,641.36,0,0,0
T000000300,2024-01-04,100580,Web,Pro,339.59,1,0,0
T000000301,2024-01-04,100837,Partner,Starter,175.1,0,0,0
T000000302,2024-01-04,100420,Inbound,Starter,247.38,1,0,0
T000000303,2024-01-04,100185,Inbound,Starter,187.07,1,0,0
T000000304,2024-01-04,100603,Inbound,Growth,326.8,1,0,0
T000000305,2024-01-04,101083,Inbound,Growth,427.49,1,0,0
T000000306,2024-01-04,100927,Inbound,Starter,210.87,1,0,0
T000000307,2024-01-04,100482,Inbound,Growth,440.78,1,0,0
T000000308,2024-01-04,100467,Web,Starter,209.15,1,0,0
T000000309,2024-01-05,100638,Web,Starter,189.03,1,0,0
T000000310,2024-01-05,100384,Inbound,Starter,182.26,0,0,0
T000000311,2024-01-05,100628,Outbound,Starter,109.21,1,0,0
T000000312,2024-01-05,100157,Inbound,Starter,217.31,1,0,0
T000000313,2024-01-05,100479,Outbound,Pro,1057.93,1,0,0
T000000314,2024-01-05,101411,Inbound,Starter,169.46,0,0,0
T000000315,2024-01-05,101060,Web,Growth,202.76,1,0,0
T000000316,2024-01-05,100212,Partner,Starter,127.32,0,0,0
T000000317,2024-01-05,100429,Web,Starter,253.98,1,0,0
T000000318,2024-01-05,100389,Inbound,Pro,546.08,1,0,0
T000000319,2024-01-05,100422,Inbound,Growth,387.62,1,0,0
T000000320,2024-01-05,101036,Web,Starter,162.22,1,0,0
T000000321,2024-01-05,101342,Web,Starter,104.98,1,0,0
T000000322,2024-01-05,101065,Partner,Pro,797.06,1,0,0
T000000323,2024-01-05,100732,Web,Pro,527.76,1,0,0
T000000324,2024-01-05,100241,Web,Starter,210.43,1,0,0
T000000325,2024-01-05,100214,Partner,Growth,378.73,0,0,0
T000000326,2024-01-05,101221,Web,Starter,81.34,0,0,0
T000000327,2024-01-05,101016,Web,Growth,336.32,1,0,0
T000000328,2024-01-05,100765,Web,Starter,272.34,1,0,0
T000000329,2024-01-05,100865,Outbound,Growth,180.33,1,0,0
T000000330,2024-01-05,101272,Inbound,Pro,220.89,1,0,0
T000000331,2024-01-05,101220,Inbound,Starter,144.86,1,0,0
T000000332,2024-01-05,100130,Web,Growth,342.14,1,0,0
T000000333,2024-01-05,100592,Web,Starter,208.13,1,0,0
T000000334,2024-01-05,100064,Outbound,Starter,135.94,1,0,0
T000000335,2024-01-05,100577,Web,Starter,251.65,0,0,0
T000000336,2024-01-05,100955,Inbound,Starter,192.58,1,0,0
T000000337,2024-01-05,100312,Inbound,Pro,508.66,1,0,0
T000000338,2024-01-05,100225,Web,Starter,167.96,1,0,0
T000000339,2024-01-05,100736,Outbound,Pro,374.67,1,0,0
T000000340,2024-01-05,100787,Inbound,Starter,263.6,1,0,0
T000000341,2024-01-05,101071,Outbound,Growth,229.76,1,0,0
T000000342,2024-01-05,100021,Outbound,Growth,387.67,1,0,0
T000000343,2024-01-05,100371,Web,Pro,679.14,1,0,0
T000000344,2024-01-05,101169,Web,Starter,214.38,1,0,0
T000000345,2024-01-05,101022,Partner,Starter,222.21,1,0,0
T000000346,2024-01-05,101349,Partner,Growth,370.93,1,0,0
T000000347,2024-01-05,101222,Outbound,Growth,346.21,0,0,0
T000000348,2024-01-05,101258,Partner,Growth,324.22,0,0,0
T000000349,2024-01-05,100765,Inbound,Starter,148.69,1,0,0
T000000350,2024-01-05,101437,Inbound,Starter,205.92,1,0,0
T000000351,2024-01-05,100623,Web,Growth,421.08,1,0,0
T000000352,2024-01-05,101354,Outbound,Growth,419.64,0,0,0
T000000353,2024-01-05,100587,Outbound,Growth,408.87,0,0,0
T000000354,2024-01-05,100666,Inbound,Starter,184.75,0,0,0
T000000355,2024-01-05,101028,Web,Starter,163.45,1,0,0
T000000356,2024-01-05,100597,Inbound,Pro,672.28,0,0,0
T000000357,2024-01-05,100220,Outbound,Growth,345.34,0,0,0
T000000358,2024-01-05,101344,Web,Starter,299.56,1,0,0
T000000359,2024-01-05,100679,Outbound,Pro,612.42,1,0,0
T000000360,2024-01-05,101390,Web,Growth,354.05,1,0,0
T000000361,2024-01-05,100598,Inbound,Starter,165.1,1,0,0
T000000362,2024-01-05,101459,Web,Starter,271.82,1,0,0
T000000363,2024-01-05,100904,Web,Growth,430.31,1,0,0
T000000364,2024-01-05,101152,Partner,Starter,219.08,0,0,0
T000000365,2024-01-05,101133,Web,Growth,376.68,0,0,0
T000000366,2024-01-05,100302,Outbound,Growth,198.97,0,0,0
T000000367,2024-01-05,101223,Web,Starter,235.64,1,0,0
T000000368,2024-01-05,101417,Web,Pro,544.54,1,0,0
T000000369,2024-01-05,100991,Web,Starter,159.71,1,0,0
T000000370,2024-01-05,101420,Web,Starter,188.73,0,0,0
T000000371,2024-01-05,101269,Partner,Growth,476.39,0,0,0
T000000372,2024-01-05,100999,Partner,Growth,406.31,0,0,0
T000000373,2024-01-05,100715,Inbound,Starter,151.48,1,0,0
T000000374,2024-01-05,101285,Web,Growth,261.37,1,0,0
T000000375,2024-01-05,100278,Web,Pro,703.61,0,0,0
T000000376,2024-01-05,100841,Web,Growth,417.93,1,0,0
T000000377,2024-01-05,101223,Inbound,Growth,235.55,0,0,0
T000000378,2024-01-05,101416,Partner,Starter,205.34,1,0,0
T000000379,2024-01-05,100400,Web,Starter,124.81,1,0,0
T000000380,2024-01-05,100140,Web,Growth,402.88,1,0,0
T000000381,2024-01-06,100682,Inbound,Growth,256.18,0,0,0
T000000382,2024-01-06,100876,Web,Growth,495.03,1,1,0
T000000383,2024-01-06,100163,Partner,Pro,396.6,1,0,0
T000000384,2024-01-06,100542,Web,Starter,145.31,1,0,0
T000000385,2024-01-06,100461,Inbound,Starter,166.15,1,0,0
T000000386,2024-01-06,100801,Web,Growth,327.65,1,0,0
T000000387,2024-01-06,100450,Web,Starter,184.33,1,0,0
T000000388,2024-01-06,100002,Web,Starter,262.05,1,0,0
T000000389,2024-01-06,100795,Inbound,Growth,39.55,1,0,0
T000000390,2024-01-06,101272,Web,Growth,324.57,1,0,0
T000000391,2024-01-06,100877,Outbound,Starter,157.94,1,0,0
T000000392,2024-01-06,100542,Inbound,Starter,233.54,1,0,0
T000000393,2024-01-06,100723,Inbound,Starter,253.15,1,0,0
T000000394,2024-01-06,100210,Web,Growth,304.98,1,0,0
T000000395,2024-01-06,100354,Outbound,Growth,366.03,1,0,0
T000000396,2024-01-06,100656,Web,Starter,221.18,0,0,0
T000000397,2024-01-06,100888,Partner,Starter,191.59,1,0,0
T000000398,2024-01-06,100729,Partner,Starter,173.58,0,0,0
T000000399,2024-01-06,101444,Inbound,Starter,236.7,1,0,0
T000000400,2024-01-06,100956,Web,Starter,229.66,0,0,0
T000000401,2024-01-06,100034,Inbound,Growth,453.64,1,0,0
T000000402,2024-01-06,100786,Outbound,Starter,180.08,1,0,0
T000000403,2024-01-06,100874,Inbound,Starter,131.9,1,0,0
T000000404,2024-01-06,100065,Outbound,Growth,247.1,1,0,0
T000000405,2024-01-06,100577,Partner,Starter,204.15,0,0,0
T000000406,2024-01-06,101307,Inbound,Starter,190.48,1,0,0
T000000407,2024-01-06,100535,Inbound,Starter,143.32,1,0,0
T000000408,2024-01-06,100684,Web,Starter,147.78,1,0,0
T000000409,2024-01-06,100331,Inbound,Starter,138.68,1,1,0
T000000410,2024-01-06,100115,Inbound,Growth,357.06,1,0,0
T000000411,2024-01-06,100477,Outbound,Starter,86.88,0,0,0
T000000412,2024-01-06,101159,Outbound,Growth,370.9,1,0,0
T000000413,2024-01-06,101474,Web,Growth,458.53,0,0,0
T000000414,2024-01-06,100990,Inbound,Starter,208.8,1,0,0
T000000415,2024-01-06,101246,Outbound,Starter,93.93,0,0,0
T000000416,2024-01-06,100974,Web,Starter,181.43,1,0,0
T000000417,2024-01-06,100988,Outbound,Starter,241.09,1,0,0
T000000418,2024-01-06,100640,Web,Growth,309.51,0,1,0
T000000419,2024-01-06,100091,Web,Starter,98.73,1,0,0
T000000420,2024-01-06,100615,Inbound,Growth,297.66,1,0,0
